epoch,train_loss,val_loss,best_val_loss,best_epoch,train_score_mse,train_score_nmse,train_score_cos,train_score_corr,train_target_energy,train_pred_energy,val_score_mse,val_score_nmse,val_score_cos,val_score_corr,val_target_energy,val_pred_energy
1,0.9596985525555081,0.8885797381401062,0.8885797381401062,1,95.96985168457032,0.9597433262401157,0.5780814390267349,0.5292393957523422,99.99659457736546,0.15427354416913455,88.85796661376953,0.8877862453460693,0.7547156095504761,0.7037489652633667,100.08937377929688,0.7204404830932617
2,0.7708446277512444,0.6194432973861694,0.6194432973861694,2,77.08446112738716,0.7710757493972779,0.7704223195711771,0.7377660367223952,99.96937798394097,3.5495149347517225,61.944329833984376,0.61991446018219,0.7882814884185791,0.7704592227935791,99.92398681640626,9.502474594116212
3,0.49630560676256813,0.3800199806690216,0.3800199806690216,3,49.630560641818576,0.4963286995887756,0.8126821557680766,0.8006219943364461,99.99299604627821,19.381177690294052,38.00199737548828,0.3802228569984436,0.8372010231018067,0.8293412327766418,99.94656372070312,32.304029846191405
4,0.3204604506492615,0.2818067967891693,0.2818067967891693,4,32.04604466756185,0.32066054542859396,0.8516354057523939,0.8451464666260613,99.93449452718099,44.38582102457682,28.180677795410155,0.2815102577209473,0.8583232164382935,0.8528790831565857,100.1055191040039,57.58787460327149
5,0.2718182020717197,0.26945855617523196,0.26945855617523196,5,27.181819576687282,0.27172968718740675,0.8601019051339891,0.8549629118707445,100.03238898383246,65.70374484592014,26.945854568481444,0.2693023085594177,0.8596300601959228,0.8548272490501404,100.05711975097657,72.12133331298828
6,0.26618295245700413,0.2664917826652527,0.2664917826652527,6,26.618294440375433,0.26612313588460285,0.8610510190327962,0.8566748287942675,100.0228502061632,73.65035078260634,26.64917984008789,0.2663754940032959,0.8604719281196594,0.8565242767333985,100.04350280761719,73.96088562011718
7,0.26249428192774454,0.26237905621528623,0.26237905621528623,7,26.24942775302463,0.262486121389601,0.86230947971344,0.8587922559844123,100.00276607937283,73.32323048909505,26.237904357910157,0.2624229907989502,0.8617537021636963,0.8588522553443909,99.98136901855469,72.51123046875
8,0.25878363053003944,0.25841554403305056,0.25841554403305056,8,25.878362316555446,0.2588678922918108,0.8635213613510132,0.8609649737675985,99.96796451144748,72.18184797498915,25.841555404663087,0.2584055781364441,0.8635575413703919,0.8612514972686768,100.00314636230469,72.00621032714844
9,0.25463865995407103,0.254119747877121,0.254119747877121,9,25.46386612786187,0.25459856986999513,0.8654107517666287,0.8634711000654433,100.01564483642578,72.25301954481337,25.411974334716795,0.2541300654411316,0.865238618850708,0.8637168169021606,99.99533233642578,72.57795867919921
10,0.25050966607199776,0.25114752650260924,0.25114752650260924,10,25.050965542263455,0.2505953828493754,0.8673820071750217,0.8657617621951633,99.9665774875217,72.90948554144965,25.114752197265624,0.25077097713947294,0.8669885635375977,0.8656457304954529,100.14986267089844,73.20272674560547
11,0.24708616534868877,0.24734598398208618,0.24734598398208618,11,24.708615875244142,0.24713916348086462,0.8690387275483873,0.8677435676256816,99.97883690728082,73.39575924343534,24.734597778320314,0.24739375710487366,0.8688627004623413,0.8675870180130005,99.98416442871094,73.53765258789062
12,0.2435722142457962,0.24406163692474364,0.24406163692474364,12,24.35722024705675,0.24367070628537071,0.870802829000685,0.869729917579227,99.96007826063368,73.87676510281032,24.40616340637207,0.2438192069530487,0.8706995964050293,0.869645869731903,100.10047454833985,73.97059631347656
13,0.2408601489331987,0.24178370237350463,0.24178370237350463,13,24.086014217800564,0.24101637999216716,0.8722481807072957,0.8712425298160977,99.93597547743056,74.3018564860026,24.17836990356445,0.24257877469062805,0.8710597038269043,0.8703243136405945,99.6724838256836,74.34703674316407
14,0.23864486151271397,0.23938527405261995,0.23938527405261995,14,23.86448554992676,0.2386253168185552,0.8734643896420796,0.8726054271062215,100.00850287543403,74.73608754475912,23.93852653503418,0.23938392996788024,0.8729948759078979,0.8721589922904969,100.00016021728516,74.908447265625
15,0.23656474285655552,0.23783099055290222,0.23783099055290222,15,23.656474092271594,0.23661533859041,0.8745927572250366,0.873745224210951,99.97855309380425,75.12583685980903,23.783099365234374,0.23760257065296173,0.8738864541053772,0.8731756210327148,100.0952880859375,75.24064636230469
16,0.23457054694493612,0.23453910052776336,0.23453910052776336,16,23.457054222954643,0.2345454070303175,0.8755887058046129,0.8749249868922764,100.01004808213976,75.4352308485243,23.45390968322754,0.2349753648042679,0.8751613020896911,0.8746741771697998,99.81480102539062,75.4260040283203
17,0.23313470747735765,0.2341693937778473,0.2341693937778473,17,23.313469950358073,0.23307466175821093,0.8763354844517178,0.8757624983787536,100.0252673678928,75.66324327256945,23.416939163208006,0.23388008177280425,0.8757681488990784,0.8752989888191223,100.12453002929688,75.78482971191406
18,0.23170603546831342,0.2340921640396118,0.2340921640396118,18,23.17060284084744,0.23187916643089718,0.8770290666156345,0.8764389554659525,99.92568630642361,75.88861406114367,23.409217071533202,0.2338444173336029,0.8757847785949707,0.8753143668174743,100.10599975585937,75.89126281738281
