epoch,train_loss,val_loss,best_val_loss,best_epoch,train_score_mse,train_score_nmse,train_score_cos,train_score_corr,train_target_energy,train_pred_energy,val_score_mse,val_score_nmse,val_score_cos,val_score_corr,val_target_energy,val_pred_energy
1,0.9859243936008877,0.9693458080291748,0.9693458080291748,1,98.59243910047743,0.9859615802764893,0.47553848806354737,0.4432675960525456,99.99659457736546,0.024216591773761644,96.93458099365235,0.9684802174568177,0.7332677602767944,0.6672392606735229,100.08937377929688,0.05844731330871582
2,0.9488593525356717,0.9232057690620422,0.9232057690620422,2,94.88593529595269,0.9491491860813565,0.7639447185728285,0.6943123420079549,99.96937798394097,0.14856310288111368,92.32057342529296,0.9239080667495727,0.7824811339378357,0.7122057676315308,99.92398681640626,0.30879544019699096
3,0.8952955616845025,0.8588070869445801,0.8588070869445801,3,89.52955220540365,0.8953551451365153,0.7947184615665012,0.7293433003955417,99.99299604627821,0.588734942012363,85.88070678710938,0.8592661857604981,0.8024165034294128,0.7413193941116333,99.94656372070312,1.0384101867675781
4,0.820204742749532,0.7752974987030029,0.7752974987030029,4,82.02047136094835,0.8207334094577365,0.8120758665932549,0.7561437408129374,99.93449452718099,1.7112501621246339,77.52975311279297,0.7744803071022034,0.8180734515190125,0.7664675712585449,100.1055191040039,2.7202397346496583
5,0.7300375355614557,0.6787870645523071,0.6787870645523071,5,73.00375094943577,0.7297933061917623,0.8252446466022068,0.7781956156094869,100.03238898383246,4.020241324106852,67.87870178222656,0.6783995389938354,0.8291710376739502,0.7859232902526856,100.05711975097657,5.8498929977417
6,0.6324507872263591,0.5818633079528809,0.5818633079528809,6,63.245077175564234,0.6323087731997172,0.8356354302830167,0.7957952896753947,100.0228502061632,7.944760089450412,58.18633117675781,0.581609559059143,0.8391262531280518,0.8022503972053527,100.04350280761719,10.742269325256348
7,0.5389655868212382,0.4941345930099487,0.4941345930099487,7,53.896558125813804,0.538951559861501,0.8438244753413731,0.8098621990945604,100.00276607937283,13.682083341810438,49.413458251953124,0.49422385096549987,0.8460808396339417,0.8145723581314087,99.98136901855469,17.418498992919922
8,0.4586722215016683,0.4235002398490906,0.4235002398490906,8,45.86722157796224,0.45881707999441357,0.8501190159055921,0.820753706826104,99.96796451144748,20.98083987765842,42.350023651123045,0.42348572611808777,0.8517443895339966,0.8241423964500427,100.00314636230469,25.37051467895508
9,0.3961733910772536,0.37094174027442933,0.37094174027442933,9,39.61733873155382,0.3961164143350389,0.855004534456465,0.8291987339655559,100.01564483642578,29.29120610555013,37.094173431396484,0.37095741629600526,0.8552655816078186,0.8309961557388306,99.99533233642578,33.985400390625
10,0.35149891177813214,0.33587758541107177,0.33587758541107177,10,35.14989030626085,0.35161844823095534,0.8579461918936835,0.8348106000158522,99.9665774875217,37.87889149983724,33.58775787353515,0.3353748321533203,0.8577710390090942,0.8358426928520203,100.14986267089844,42.50019302368164
