epoch,train_loss,val_loss,best_val_loss,best_epoch,train_score_mse,train_score_nmse,train_score_cos,train_score_corr,train_target_energy,train_pred_energy,val_score_mse,val_score_nmse,val_score_cos,val_score_corr,val_target_energy,val_pred_energy
1,0.8210773415035671,0.763508677482605,0.763508677482605,1,78079.29210069444,0.9991930736435785,0.46689124173588226,0.06173611641344097,78138.89661458334,3.1134951369629964,90939.1484375,0.9986783146858216,0.5590438604354858,0.0883065104484558,91056.1484375,5.371017742156982
2,0.7487107263671027,0.7205608248710632,0.7205608248710632,2,83119.19366319444,0.997967947853936,0.5742209010654026,0.1081767060690456,83282.18394097222,7.680739074283176,78165.7671875,0.9974820852279663,0.5941110014915466,0.11583321988582611,78360.74765625,10.092780494689942
3,0.7097327404552036,0.6801960825920105,0.6801960825920105,3,77520.66414930555,0.9969522184795804,0.5890286882718404,0.12014054391119215,77754.81961805555,13.827623473273384,83010.0640625,0.9963551998138428,0.6046353697776794,0.13091247230768205,83304.0203125,17.303372955322267
4,0.6709068165885077,0.6572501301765442,0.6572501301765442,4,77695.28090277778,0.9956347690688239,0.6045690867635939,0.13315703256262673,78026.2640625,23.12902149624295,79039.2453125,0.995095682144165,0.6134509682655335,0.13981866836547852,79420.809375,27.283301162719727
5,0.6497746838463677,0.6372858166694642,0.6372858166694642,5,77363.53350694444,0.9943187091085646,0.6130935801400079,0.14387477387984593,77791.3125,33.93168330722385,84993.696875,0.9938770174980164,0.6101545810699462,0.15185031592845916,85510.0203125,39.647099304199216
6,0.6295117020606995,0.6241209149360657,0.6241209149360657,6,82320.45555555556,0.9932640473047892,0.6168943974706862,0.15105059130324258,82859.80694444444,46.6137708875868,79666.2359375,0.9923803687095643,0.625602924823761,0.16124268770217895,80275.565625,52.92775421142578
7,0.6079414116011725,0.6129200458526611,0.6129200458526611,7,78733.08003472222,0.9918812235196431,0.6286863340271844,0.15765692525439792,79356.59791666667,60.76117757161458,80882.3875,0.9903407573699952,0.6338742017745972,0.1751013547182083,81636.33828125,69.95323333740234
8,0.5948109891679552,0.5904452085494996,0.5904452085494996,8,80736.62135416667,0.990765635172526,0.6330718795458475,0.16372396846612294,81471.18706597222,76.5767603556315,82566.2796875,0.9901522755622864,0.6363879084587097,0.16874429881572722,83380.271875,85.855078125
9,0.5825181325276693,0.5864745020866394,0.5864745020866394,9,76037.96762152777,0.9890262775950962,0.6396563569704692,0.1698401709397634,76842.30121527778,94.3801542494032,80201.3234375,0.9886656284332276,0.6404051065444947,0.17408848702907562,81109.1,104.70711669921874
10,0.5760189665688409,0.5707583904266358,0.5707583904266358,10,80337.47352430556,0.9883504337734647,0.6392684949768914,0.17095992035335963,81244.56605902778,112.85765702989366,76207.42890625,0.9860611319541931,0.6495517730712891,0.1935657352209091,77234.8578125,118.05218200683593
11,0.5710309598180983,0.543706876039505,0.543706876039505,11,80843.7140625,0.9870642304420472,0.6417088998688592,0.17881988055176204,81884.76189236112,133.57804429796008,70916.696875,0.9853729486465455,0.659383749961853,0.1820283502340317,71908.778125,140.9874725341797
