epoch,train_loss,val_loss,best_val_loss,best_epoch
1,0.9596985525555081,0.8885797381401062,0.8885797381401062,1
2,0.7708446277512444,0.6194432973861694,0.6194432973861694,2
3,0.49630560676256813,0.3800199806690216,0.3800199806690216,3
4,0.3204604506492615,0.2818067967891693,0.2818067967891693,4
5,0.2718182020717197,0.26945855617523196,0.26945855617523196,5
6,0.26618295245700413,0.2664917826652527,0.2664917826652527,6
7,0.26249428192774454,0.26237905621528623,0.26237905621528623,7
8,0.25878363053003944,0.25841554403305056,0.25841554403305056,8
9,0.25463865995407103,0.254119747877121,0.254119747877121,9
10,0.25050966607199776,0.25114752650260924,0.25114752650260924,10
11,0.24708616534868877,0.24734598398208618,0.24734598398208618,11
12,0.2435722142457962,0.24406163692474364,0.24406163692474364,12
13,0.2408601489331987,0.24178370237350463,0.24178370237350463,13
14,0.23864486151271397,0.23938527405261995,0.23938527405261995,14
15,0.23656474285655552,0.23783099055290222,0.23783099055290222,15
16,0.23457054694493612,0.23453910052776336,0.23453910052776336,16
17,0.23313470747735765,0.2341693937778473,0.2341693937778473,17
18,0.23170603546831342,0.2340921640396118,0.2340921640396118,18
19,0.23043498264418708,0.23214616179466246,0.23214616179466246,19
20,0.22939983540111117,0.23103433847427368,0.23103433847427368,20
21,0.22853914764192368,0.2305862545967102,0.2305862545967102,21
22,0.22757707768016391,0.22982531189918518,0.22982531189918518,22
23,0.2269120881954829,0.2289469987154007,0.2289469987154007,23
24,0.22610624531904858,0.22836945056915284,0.22836945056915284,24
25,0.22562622560395135,0.2275969922542572,0.2275969922542572,25
26,0.224837013747957,0.22717913389205932,0.22717913389205932,26
27,0.22440294027328492,0.22576807737350463,0.22576807737350463,27
28,0.2234758264488644,0.2251743793487549,0.2251743793487549,28
29,0.2228308962451087,0.22471652030944825,0.22471652030944825,29
30,0.22245435847176445,0.22502388954162597,0.22471652030944825,29
31,0.22211774455176458,0.22447825372219085,0.22447825372219085,31
32,0.22153057124879624,0.22258933186531066,0.22258933186531066,32
33,0.2210416270626916,0.2228956252336502,0.22258933186531066,32
34,0.22079273992114598,0.22354650497436523,0.22258933186531066,32
35,0.22037603590223526,0.221442711353302,0.221442711353302,35
36,0.22009569075372484,0.22246505320072174,0.221442711353302,35
37,0.22002130415704516,0.22143052220344545,0.22143052220344545,37
38,0.2192833168639077,0.22126251459121704,0.22126251459121704,38
39,0.2190481662750244,0.22120840549468995,0.22120840549468995,39
40,0.2190655787785848,0.22087600827217102,0.22087600827217102,40
41,0.2184063841899236,0.22078220248222352,0.22078220248222352,41
42,0.2181953529516856,0.22036610841751098,0.22036610841751098,42
43,0.2180112448003557,0.22016843557357788,0.22016843557357788,43
44,0.21719409028689066,0.22017935514450074,0.22016843557357788,43
45,0.2172224160697725,0.21966239511966706,0.21966239511966706,45
46,0.2171405812104543,0.2196703612804413,0.21966239511966706,45
47,0.21682683229446412,0.21933842897415162,0.21933842897415162,47
48,0.21667716370688545,0.21876490414142608,0.21876490414142608,48
49,0.2162417166762882,0.21843061447143555,0.21843061447143555,49
50,0.21578360696633656,0.21794233322143555,0.21794233322143555,50
51,0.21568190587891473,0.21763011813163757,0.21763011813163757,51
52,0.2156587862306171,0.21749383807182313,0.21749383807182313,52
53,0.21528903974427116,0.21758031249046325,0.21749383807182313,52
54,0.2151870545413759,0.2185656487941742,0.21749383807182313,52
55,0.2150157223145167,0.21738149225711823,0.21738149225711823,55
56,0.21482325394948323,0.2169616401195526,0.2169616401195526,56
57,0.21451186339060466,0.21677688360214234,0.21677688360214234,57
58,0.21441138254271613,0.21583767533302306,0.21583767533302306,58
59,0.21407193938891092,0.21562305092811584,0.21562305092811584,59
60,0.213755135734876,0.21714157462120057,0.21562305092811584,59
61,0.21382563511530558,0.21627702116966246,0.21562305092811584,59
62,0.21365607877572376,0.21503994464874268,0.21503994464874268,62
63,0.21357576052347818,0.21591862440109252,0.21503994464874268,62
64,0.2134396966960695,0.2153865545988083,0.21503994464874268,62
65,0.21320067842801413,0.21547560691833495,0.21503994464874268,62
66,0.21334963738918306,0.21493505835533142,0.21493505835533142,66
67,0.21271080871423084,0.2155131757259369,0.21493505835533142,66
68,0.21261440184381272,0.21457093358039855,0.21457093358039855,68
69,0.21257837216059366,0.2149902403354645,0.21457093358039855,68
70,0.2124337845378452,0.21525808572769164,0.21457093358039855,68
71,0.2120624108446969,0.2143671602010727,0.2143671602010727,71
72,0.21207165055804783,0.2150362104177475,0.2143671602010727,71
73,0.21201184557543862,0.21422966420650483,0.21422966420650483,73
74,0.21220329006512959,0.2139758735895157,0.2139758735895157,74
75,0.21198909746276007,0.2142655670642853,0.2139758735895157,74
76,0.21185950073930954,0.213884899020195,0.213884899020195,76
77,0.21159531209203933,0.21452248096466064,0.213884899020195,76
78,0.21132529709074233,0.21348925828933715,0.21348925828933715,78
79,0.2111467242240906,0.21384142339229584,0.21348925828933715,78
80,0.21116127802266016,0.21344732642173767,0.21344732642173767,80
81,0.21096898516019186,0.21339892745018005,0.21339892745018005,81
82,0.21085705757141113,0.21339311301708222,0.21339311301708222,82
83,0.21079349021116892,0.21266958117485046,0.21266958117485046,83
84,0.21081219050619338,0.2138869732618332,0.21266958117485046,83
85,0.210626064075364,0.21335634589195251,0.21266958117485046,83
86,0.21056289937761094,0.21300965547561646,0.21266958117485046,83
87,0.21048877802160051,0.21272193491458893,0.21266958117485046,83
88,0.21033561362160577,0.21235995292663573,0.21235995292663573,88
89,0.21027170088556077,0.21296710073947905,0.21235995292663573,88
90,0.2102144844002194,0.21290217638015746,0.21235995292663573,88
91,0.2098604102929433,0.21227585077285765,0.21227585077285765,91
92,0.20993736386299133,0.2128037542104721,0.21227585077285765,91
93,0.2098134030898412,0.21255717277526856,0.21227585077285765,91
94,0.20960991614394717,0.21222800016403198,0.21222800016403198,94
95,0.20962268014748892,0.21220654249191284,0.21220654249191284,95
96,0.20959893597496881,0.2124603122472763,0.21220654249191284,95
97,0.20961122082339392,0.21174381375312806,0.21174381375312806,97
98,0.20920371611913044,0.2113098293542862,0.2113098293542862,98
99,0.2092387292120192,0.21234706044197083,0.2113098293542862,98
100,0.2094906296994951,0.21194685697555543,0.2113098293542862,98
