epoch,train_loss,val_loss,best_val_loss,best_epoch,train_score_mse,train_score_nmse,train_score_cos,train_score_corr,train_target_energy,train_pred_energy,val_score_mse,val_score_nmse,val_score_cos,val_score_corr,val_target_energy,val_pred_energy
1,0.9462440954314337,0.8839791417121887,0.8839791417121887,1,79812.98715277777,0.9999126858181424,0.23925850788752237,0.020197228342294694,79819.97465277778,0.3300812456342909,66619.7109375,0.9996868968009949,0.4255467355251312,0.04393479973077774,66640.578125,0.9472927451133728
2,0.8547210150294834,0.8509616851806641,0.8509616851806641,2,78584.83298611111,0.9996360619862874,0.45668454236454437,0.04503036290407181,78613.47048611111,1.4318547831641304,70465.6640625,0.9994217157363892,0.4574835002422333,0.05578644946217537,70506.4375,2.103017568588257
3,0.8202153735690647,0.8220745325088501,0.8220745325088501,3,85407.73246527778,0.9994598905245463,0.46584196752972074,0.05286970991227362,85453.4204861111,2.4465484566158717,90344.0625,0.9994076490402222,0.45691320300102234,0.05454186350107193,90397.609375,2.9805617332458496
4,0.8023484879069858,0.7778274416923523,0.7778274416923523,4,74983.23177083333,0.9992389520009358,0.4951284057564206,0.060544018033477996,75039.57777777778,3.2643130090501575,60799.43359375,0.9990144371986389,0.5236572623252869,0.06734050810337067,60859.4140625,3.669783115386963
5,0.80246538983451,0.7679160237312317,0.7679160237312317,5,77627.51831597222,0.999104106426239,0.4956411401430766,0.0666099649336603,77696.49305555556,3.8722818162706165,69270.59375,0.9989496469497681,0.5491600036621094,0.07110398262739182,69343.4296875,4.234854698181152
6,0.7935958054330614,0.7395318150520325,0.7395318150520325,6,78992.3,0.9989713761541579,0.5073008471065097,0.07263718065288331,79073.21336805556,4.3786600430806475,42400.2109375,0.998082160949707,0.5894525647163391,0.09600970894098282,42481.68359375,4.749759197235107
7,0.7726205110549926,0.7323431372642517,0.7323431372642517,7,82656.57100694445,0.9988432115978665,0.5326896283361647,0.0792148737443818,82751.93489583333,4.851568857828776,55065.86328125,0.9983562231063843,0.6015927195549011,0.08897963166236877,55156.52734375,5.269639492034912
8,0.7625415444374084,0.7734681963920593,0.7323431372642517,7,77125.66145833333,0.9985405206680298,0.5601234952608745,0.0907085089219941,77235.56475694444,5.321527587042914,83611.8984375,0.9985005855560303,0.575129508972168,0.09462501108646393,83737.453125,5.748907089233398
9,0.7574574112892151,0.7571125030517578,0.7323431372642517,7,83067.47152777777,0.9984297023879157,0.5597441818979051,0.09731100863880582,83197.52916666666,5.881986776987712,75734.8359375,0.9984188675880432,0.5606394410133362,0.09055496752262115,75854.7734375,6.416171550750732
10,0.7503313197029962,0.8068544268608093,0.7323431372642517,7,79857.07777777778,0.9981858981980218,0.5765109697977702,0.10401522682772743,79999.88802083333,6.508148701985677,82767.6796875,0.998100221157074,0.5265435576438904,0.10891930013895035,82925.21875,6.8692827224731445
11,0.7568844278653463,0.7837490439414978,0.7323431372642517,7,75584.94270833333,0.9979380210240681,0.5781656252013312,0.11065648910072115,75740.62378472222,7.151227315266927,111196.125,0.9984408617019653,0.5255323052406311,0.09845015406608582,111369.765625,7.609813213348389
12,0.7467486725913154,0.7514268755912781,0.7323431372642517,7,76012.20538194444,0.9978092246585422,0.587521661652459,0.1122761661807696,76177.45555555556,7.867610528733995,117026.8125,0.9984954595565796,0.5293564200401306,0.09438351541757584,117203.1484375,8.17216682434082
13,0.752523644765218,0.7161449193954468,0.7161449193954468,13,88170.71371527777,0.9979150282012091,0.5777470615175035,0.11012460241715114,88351.3734375,8.480125109354654,59089.49609375,0.9972640872001648,0.6284793019294739,0.11625298857688904,59251.6015625,9.165536880493164
14,0.7493871053059896,0.736824095249176,0.7161449193954468,13,82134.66440972222,0.99769932296541,0.584276635117001,0.1144953191280365,82320.0625,8.896841579013401,84641.3359375,0.9979686141014099,0.5902565717697144,0.10118464380502701,84813.625,9.514971733093262
15,0.7365286337004767,0.7428007125854492,0.7161449193954468,13,84675.68940972222,0.9976832429567973,0.576004856162601,0.11528924587700103,84870.60677083333,9.300459183586968,82209.3046875,0.9976469278335571,0.583819568157196,0.11424026638269424,82403.203125,9.62985897064209
16,0.7097656236754524,0.6923434734344482,0.6923434734344482,16,74150.96163194445,0.9975172479947408,0.5944507744577195,0.1110678944322798,74332.55260416666,10.157891994052463,74325.4140625,0.9976776838302612,0.6035690307617188,0.10160723328590393,74498.421875,11.007471084594727
17,0.7155986560715569,0.6813055872917175,0.6813055872917175,17,83804.77760416667,0.9976064748234219,0.5815597044097053,0.10688968482944701,83999.19809027777,11.266107877095541,79419.1875,0.9975690841674805,0.5899399518966675,0.10479736328125,79612.71875,12.0891752243042
18,0.7063648091422187,0.7500943541526794,0.6813055872917175,17,81936.51788194444,0.9973456197314792,0.5927255339092679,0.11375610828399658,82151.17100694444,12.246536488003201,100340.0546875,0.9975320100784302,0.5425269603729248,0.11412941664457321,100588.3046875,13.042128562927246
19,0.7103227853775025,0.7333194613456726,0.6813055872917175,17,73717.35581597222,0.9968894905514187,0.5949437022209167,0.1217969184120496,73945.66944444444,13.3971589618259,68387.5234375,0.996110737323761,0.5894312858581543,0.14142391085624695,68654.5390625,14.420666694641113
20,0.7082132167286344,0.6975892782211304,0.6813055872917175,17,85049.61979166667,0.9970022082328797,0.5876916236347622,0.1192335734764735,85299.26840277777,14.685377502441407,47270.40625,0.9954730868339539,0.6258594989776611,0.13213542103767395,47485.3671875,16.100433349609375
21,0.7009618467754788,0.6548040509223938,0.6548040509223938,21,75619.1640625,0.99647466606564,0.5956554836697049,0.12869050635231866,75884.41041666667,15.815580537584093,83010.125,0.9970238208770752,0.6042150259017944,0.11491478234529495,83257.9140625,15.80590534210205
22,0.7039432220988804,0.7316041588783264,0.6548040509223938,21,80214.88819444444,0.9963672916094463,0.5951099541452196,0.1311289714442359,80504.65364583333,17.129361300998262,86328.7421875,0.9966322183609009,0.574042022228241,0.12631350755691528,86620.4609375,17.27387046813965
23,0.6663293507364061,0.6538125872612,0.6538125872612,23,80722.85260416666,0.996426612801022,0.6149321860737271,0.12651381774081125,81009.62326388889,18.12003928290473,80309.8515625,0.9959414005279541,0.6314696669578552,0.1424613744020462,80637.125,18.24420928955078
24,0.6814612375365363,0.6950587630271912,0.6538125872612,23,78566.4154513889,0.9960402144326104,0.6025305310885112,0.1332327319516076,78876.21649305556,19.471930313110352,63080.18359375,0.9952669739723206,0.5948795676231384,0.13778863847255707,63380.1640625,21.464536666870117
25,0.679204958015018,0.638042688369751,0.638042688369751,25,81544.75451388888,0.9959653761651781,0.6039345237943862,0.1333913935555352,81870.45052083333,20.839000744289823,83070.4296875,0.9966182708740234,0.6129364967346191,0.11237772554159164,83352.3046875,21.92667579650879
26,0.6791025029288398,0.6438924670219421,0.638042688369751,25,78148.65034722222,0.9956524398591783,0.6060438434282939,0.1353724092245102,78482.2484375,22.38956002129449,85160.3515625,0.9962275624275208,0.6236223578453064,0.12285609543323517,85482.828125,23.16464614868164
27,0.6507784048716228,0.6794943809509277,0.638042688369751,25,78160.49583333333,0.9956598427560595,0.6224932233492534,0.13283818496598138,78497.52430555556,23.71987380981445,53092.18359375,0.9937248229980469,0.6043499708175659,0.15748298168182373,53427.44921875,24.416818618774414
28,0.6654311180114746,0.6595558524131775,0.638042688369751,25,79128.21545138888,0.9953747934765286,0.6094317528936598,0.13935119774606491,79491.45711805555,24.5798706902398,75049.171875,0.9952990412712097,0.6102133989334106,0.14132611453533173,75403.640625,23.788461685180664
29,0.6790602299902174,0.665010929107666,0.638042688369751,25,94166.87118055555,0.9961558222770691,0.5891446868578593,0.12380130953258939,94522.58003472222,25.523857582939996,81076.734375,0.9961380362510681,0.5886542201042175,0.1137019619345665,81391.0625,27.812000274658203
30,0.6684559504191081,0.6259369254112244,0.6259369254112244,30,84045.2921875,0.9956586864259508,0.5912605696254306,0.12788554595576393,84405.91458333333,27.63046434190538,88453.6171875,0.996397852897644,0.595798909664154,0.11022207885980606,88773.390625,28.04386329650879
31,0.6614587624867757,0.7035834193229675,0.6259369254112244,30,82339.18229166667,0.9953198962741427,0.5974785526593526,0.13396485083633,82724.5359375,29.015897666083443,85454.28125,0.9951105117797852,0.5743069648742676,0.1381957232952118,85874.1640625,31.004901885986328
32,0.6604024608929951,0.6676198840141296,0.6259369254112244,30,84346.66979166666,0.995263930161794,0.6068563991122775,0.13479615913497078,84748.52552083334,30.31362164815267,88989.1640625,0.9952229261398315,0.599442183971405,0.13469800353050232,89416.3125,32.57069396972656
33,0.6357637286186218,0.6915032267570496,0.6259369254112244,30,80748.70138888889,0.9948709554142422,0.6192335486412048,0.14000394013192918,81163.61875,31.443000581529404,80995.0234375,0.9937248229980469,0.5626071691513062,0.1662329137325287,81506.4921875,32.91596603393555
34,0.6401642812622919,0.6793217658996582,0.6259369254112244,30,78073.9359375,0.9945480293697782,0.6184729960229661,0.14133528305424584,78496.64131944445,33.46365729437934,88789.7109375,0.994286835193634,0.5840858817100525,0.15556234121322632,89299.8984375,34.312469482421875
35,0.6331576969888475,0.7053565979003906,0.6259369254112244,30,77058.7796875,0.9942958103285895,0.6298406481742859,0.1431757609049479,77491.76111111112,34.979138437906904,62616.0625,0.9924287796020508,0.5797346830368042,0.165836900472641,63093.7578125,38.436378479003906
36,0.6409699691666497,0.6372205018997192,0.6259369254112244,30,80073.21423611112,0.9941009587711758,0.6184263639979892,0.14775940444734362,80544.68194444444,36.91185090806749,82496.7734375,0.9943738579750061,0.6126889586448669,0.1420295685529709,82963.5390625,38.10880661010742
37,0.6225602083735996,0.6883003115653992,0.6259369254112244,30,76628.23046875,0.9939721981684367,0.6306133998764886,0.1447377214829127,77091.14322916667,39.153996022542316,92266.3671875,0.9945859313011169,0.5705403685569763,0.13865695893764496,92768.625,41.44272232055664
38,0.6431781755553352,0.6698314547538757,0.6259369254112244,30,79600.20260416667,0.9936406122313606,0.6192441966798571,0.1514203449090322,80100.58315972223,40.3145270453559,60741.33984375,0.9908977746963501,0.6002627015113831,0.1840440183877945,61299.30078125,43.59627914428711
39,0.6567304756906297,0.6652646064758301,0.6259369254112244,30,83637.08472222222,0.9937068568335639,0.6066915856467353,0.15156152645746868,84165.57552083333,42.20627551608615,83630.015625,0.9936140179634094,0.5754384398460388,0.1499292403459549,84167.5078125,44.94118118286133
40,0.6274246176083883,0.6201013922691345,0.6201013922691345,40,82354.79704861112,0.9935106012556288,0.6202625062730577,0.1520536955859926,82884.81302083333,43.37699796888563,51973.125,0.9905343055725098,0.6456009149551392,0.1764216274023056,52469.7890625,44.9114875793457
41,0.6294963306850857,0.6283964514732361,0.6201013922691345,40,85530.85850694444,0.993673547108968,0.6170189446873136,0.1456875337494744,86056.40086805556,45.812084367540145,96962.4921875,0.9949508309364319,0.616650402545929,0.12887698411941528,97454.5546875,44.48200607299805
42,0.6302789502673679,0.6547190546989441,0.6201013922691345,40,79069.13680555555,0.9930540521939596,0.6234290122985839,0.15444593429565429,79619.88993055555,47.24844368828668,84193.5546875,0.9930737018585205,0.5970744490623474,0.15618927776813507,84780.7734375,49.00864791870117
43,0.6150649627049763,0.6364273428916931,0.6201013922691345,40,78047.26675347223,0.9930144455697801,0.6347480760680304,0.15014054907692803,78582.78463541667,49.182110680474175,75111.5546875,0.9926802515983582,0.6169895529747009,0.15567216277122498,75665.40625,49.90706253051758
44,0.6339332275920444,0.6246041655540466,0.6201013922691345,40,80622.62352430556,0.9924038317468431,0.6165772967868381,0.1640615469879574,81238.04991319444,50.933651479085285,66413.140625,0.9918714761734009,0.6328776478767395,0.15802101790905,66957.40625,53.41095733642578
45,0.6032361030578614,0.6261770129203796,0.6201013922691345,40,77968.51944444445,0.9929277976353963,0.6334463675816854,0.14889856576919555,78515.47378472223,52.1511110941569,60984.0390625,0.9909313321113586,0.6252192258834839,0.16349047422409058,61542.14453125,57.69429397583008
